id	classification	original_format	app_visibility	source_path	library_path	conversion_note
privacy-art-invisibility	Privacy / Surveillance / Personal Defense	PDF	standard	../../RES/PDFs/Privacy & Surveillance/The Art of Invisibility - Kevin Mitnick.pdf	pdfs/privacy-surveillance/art-of-invisibility-kevin-mitnick.pdf	Original PDF retained in RES
privacy-dragnet-nation	Privacy / Surveillance / Civil Liberties	PDF	standard	../../RES/PDFs/Privacy & Surveillance/Dragnet Nation - Julia Angwin.pdf	pdfs/privacy-surveillance/dragnet-nation-julia-angwin.pdf	Original PDF retained in RES
privacy-means-control	Privacy / Surveillance / Government-Technology Systems	PDF	standard	../../RES/PDFs/Privacy & Surveillance/Means of Control - Byron Tau.pdf	pdfs/privacy-surveillance/means-of-control-byron-tau.pdf	Original PDF retained in RES
privacy-obfuscation	Privacy / Surveillance / Protest and Defense	PDF	standard	../../RES/PDFs/Privacy & Surveillance/Obfuscation - Finn Brunton and Helen Nissenbaum.pdf	pdfs/privacy-surveillance/obfuscation-brunton-nissenbaum.pdf	Original PDF retained in RES
fiction-occult-lovecraft-poetry	Fiction / Occult Literature	EPUB	standard	../../RES/PDFs/Fiction & Occult/H.P. Lovecraft/The Complete Poetry of H.P. Lovecraft.epub	pdfs/fiction-occult/complete-poetry-hp-lovecraft.pdf	Converted to fixed-page PDF; EPUB retained
fiction-occult-lovecraft-necronomicon	Fiction / Occult Literature	EPUB	standard	../../RES/PDFs/Fiction & Occult/H.P. Lovecraft/Necronomicon - The Best Weird Tales.epub	pdfs/fiction-occult/necronomicon-best-weird-tales.pdf	Converted to fixed-page PDF; EPUB retained
fiction-occult-lovecraft-tales	Fiction / Occult Literature	EPUB	standard	../../RES/PDFs/Fiction & Occult/H.P. Lovecraft/Tales of H.P. Lovecraft.epub	pdfs/fiction-occult/tales-of-hp-lovecraft.pdf	Converted to fixed-page PDF; EPUB retained
archive-agriculture-cannabis-grow-bible	Agriculture / Controlled Crops Archive	EPUB	hidden-archive	../../RES/PDFs/Archives/Agriculture/The Cannabis Grow Bible - Greg Green.epub	pdfs/archives/agriculture/cannabis-grow-bible-greg-green.pdf	Converted to fixed-page PDF; EPUB retained
archive-agriculture-opium-masses	Agriculture / Controlled Crops Archive	PDF	hidden-archive	../../RES/PDFs/Archives/Agriculture/Opium for the Masses - Jim Hogshire.pdf	pdfs/archives/agriculture/opium-for-the-masses-jim-hogshire.pdf	Original PDF retained in RES
