id	sha256	pages	acquired_on	source_url	publisher	rights_status	acquisition_status	resolved_title	resolved_author
plato-crito	28656ab79c5a7f686f9c1cff84c625e2de883d0b0ce67f80d10795e840718fe1	22	2026-08-16	https://www.gutenberg.org/ebooks/1657	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Crito	Plato
plato-phaedo	c039c1d1963aba578f070c0a17cc8431b5542f4b435e6334f226666dccbd3fde	97	2026-08-16	https://www.gutenberg.org/ebooks/1658	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Phaedo	Plato
plato-symposium	6e5c3e6215d4183accfef3a47268f3d0c449c2ea6d8cd7103983bd9c3638013a	67	2026-08-16	https://www.gutenberg.org/ebooks/1600	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Symposium	Plato
plato-meno	84cbefde0fec768e1011c1531e76a367c06aaa5d7b6d64047ae6b0fa44f2ad33	63	2026-08-16	https://www.gutenberg.org/ebooks/1643	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Meno	Plato
plato-gorgias	0aa51e8bfc28614957775beb89b1d27d512855674652e8b9b9c3acc79b10f50a	141	2026-08-16	https://www.gutenberg.org/ebooks/1672	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Gorgias	Plato
plato-phaedrus	30f3f033264a9945bae7bbbd450f0c58df6f200c8dbdab78aea78b68c0fa2b88	84	2026-08-16	https://www.gutenberg.org/ebooks/1636	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Phaedrus	Plato
plato-timaeus	5431a05632ee882b2ca03cf75ea643f9de78404265dcdd2251b252cd193909d3	148	2026-08-16	https://www.gutenberg.org/ebooks/1572	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Timaeus	Plato
plato-protagoras	7d3578baff9c4e7ad01467e181f8761a47b66357dcdeff4f8e6c8b407c0472ae	67	2026-08-16	https://www.gutenberg.org/ebooks/1591	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Protagoras	Plato
plato-theaetetus	f2ae428288c564ebf810f4c132c1a9231410a427e95c0eb0983aa47df30a60eb	151	2026-08-16	https://www.gutenberg.org/ebooks/1726	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Theaetetus	Plato
aristotle-metaphysics	fc11d29b87b77133347c66e278610db8708c0a6a6d0612bb5c998d39c10feb2c	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Metaphysics+Aristotle	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Metaphysics	Aristotle
aristotle-physics	57300f3528502dc87573fbdb2ca998fb1534ee632c27b1a5cc4b0dd9eb6a2a6f	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Physics+Aristotle	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Physics	Aristotle
aristotle-on-soul	c701c336dd26b78f8e27f598aef367dca61964fd97734d4169456158604ab1dd	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=On+the+Soul+Aristotle	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	On the Soul	Aristotle
aristotle-categories	11fd2d0db3b9077199c57247a44a8be8e8a02e8508e6e4e7095d3c32d5b754f7	38	2026-08-16	https://www.gutenberg.org/ebooks/2412	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Categories	Aristotle
aristotle-interpretation	7a570b181685b824e3027a45e3f7e89db227d02f00c9a5a7c629d0fafbe45f5f	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=On+Interpretation+Aristotle	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	On Interpretation	Aristotle
aristotle-prior-analytics	e24a1cb6ef6544aef50cf99531edba4218f9b77b539216ee2f13b466063f6264	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Prior+Analytics+Aristotle	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Prior Analytics	Aristotle
aristotle-posterior-analytics	aaeeef9045989604627e084152ca7d11edb0015378308c69982b5ee997082204	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Posterior+Analytics+Aristotle	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Posterior Analytics	Aristotle
aristotle-topics	05a51ab608675e11e28ffaab4b6f08b3139dca56fdb636b9156c676b39c59983	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Topics+Aristotle	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Topics	Aristotle
aristotle-rhetoric	f34127d713fd1d779ed5e4829876b9474fbd94dc92d8d90cfb48845912ac1aaf	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Rhetoric+Aristotle	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Rhetoric	Aristotle
aristotle-poetics	49862a456ce183eea279a6c060284391169e69a371bb23153493c7e215f2ca0f	13	2026-08-16	https://www.gutenberg.org/ebooks/20685	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Poetics	Aristotle
lucretius-nature	363b858d5b1c21f5dda0bb6aed8475bd134704bee19e5826adcc21b5fbf57313	215	2026-08-16	https://www.gutenberg.org/ebooks/785	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	On the Nature of Things	Lucretius Carus, Titus
diogenes-lives	840d04eb203ac4f1407d5e39bd62e06a0faa2d30758039ef3988d14be5e4a204	417	2026-08-16	https://www.gutenberg.org/ebooks/57342	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Lives and Opinions of Eminent Philosophers	Diogenes Laertius
cicero-ends	fa93292de3a1c2c04b46495a217fc988b8c574c7b6541d57724fe3155329677b	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Ends+of+Good+and+Evil+Cicero	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	On the Ends of Good and Evil	Cicero
cicero-tusculan	61f41b366c397c6075da9f62d1d72a0b0e31778e19097584c63e1fd599680f23	371	2026-08-16	https://www.gutenberg.org/ebooks/14988	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Cicero's Tusculan Disputations: Also, Treatises On The Nature Of The Gods, And On The Commonwealth	Cicero, Marcus Tullius
cicero-republic	b13eed48b4e703cabd5a4724e37dc8d718dcff00c8c67430935dcbd7970b9c4f	78	2026-08-16	https://www.gutenberg.org/ebooks/54161	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The republic of Cicero: Translated from the Latin; and Accompanied With a Critical and Historical Introduction.	Cicero, Marcus Tullius
sextus-pyrrhonism	555b7e47365399b754cdd5ac7a591706848d00b09e0282f3a0f1e3042b07bb4a	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Outlines+Pyrrhonism+Sextus+Empiricus	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Outlines of Pyrrhonism	Sextus Empiricus
plotinus-enneads	9ef4102893b6ec8817ce8ad73c437fda347d6d046c3118576fd4717fb136f155	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Enneads+Plotinus	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	The Enneads	Plotinus
porphyry-life-plotinus	2dc6e8349057a290e3ecf2a525244f3c652a6aa2e2e669289da32f3e2a7c3135	1	2026-08-16	https://www.gutenberg.org/ebooks/search/?query=Life+of+Plotinus+Porphyry	WAYKEEPER	SOURCE REVIEW REQUIRED / NO FULL TEXT INSTALLED	source-review	Life of Plotinus	Porphyry
plutarch-lives	cd026a07284d5b1080600a609a7925408327d4368326b9fe797113e9b8c6de29	451	2026-08-16	https://www.gutenberg.org/ebooks/14140	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Plutarch's Lives, Volume 3 (of 4)	Plutarch
bacon-novum-organum	6c0e44430858c553e5fc83d6a441878523d5f8636128a0a6d211f379621dc060	189	2026-08-16	https://www.gutenberg.org/ebooks/45988	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	Novum organum : $b or, True suggestions for the interpretation of nature	Bacon, Francis
bacon-advancement-learning	ccfc68fde15f06849e39eec2e2a032ca5f34d4162ade40ecbed44eb888d2f1d5	162	2026-08-16	https://www.gutenberg.org/ebooks/5500	Project Gutenberg	PROJECT GUTENBERG PUBLIC-DOMAIN EDITION	full-text	The Advancement of Learning	Bacon, Francis
